written,how,became,reason,menus
haldiram bhujiya,by rule,ratlami_sev,a packaged or fried namkeen: sev stands in,iit-kanpur__hall-2
handi paner,by rule,mutter_paneer,a paneer dish: mutter paneer stands in,iit-kanpur__hall-8
hari moong dal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,gniot-greater-noida__hostel
horlicks,by rule,milk_glass,a milk drink: a glass of milk,iit-kanpur__hall-11
horse gram kuzhampu,by rule,rajma_dish,a whole-bean curry: rajma stands in,sns-college-of-engineering__hostel-mess
hot,by rule,(not counted),"a heading, a label or a word left over from a split cell, not a dish",iit-dharwad__central-mess
hut stuffed khasta kachori alu gravy,by hand,poori; aloo_tomato,,iit-kanpur__hall-8
ice cream,by rule,fruit_custard,a milk dessert: fruit custard stands in,gniot-greater-noida__hostel iiser-bhopal__dining-hall-3 iit-kanpur__hall-11 iit-kanpur__hall-8 iit-tirupati__central-mess-apr2024
ice cream jowa roti,by hand,roti; fruit_custard,,vnit-nagpur__aaswad-mess
idli sambhar,by hand,idli; sambhar,,sliet-longowal__hostel-mess
idli vada samber chutney mix sprouts boiled egg banana,by rule,boiled_egg,an egg,iit-dharwad__central-mess
iml rice,by rule,plain_rice,rice,iit-kanpur__hall-11
imli,by rule,imli_chutney,a tamarind chutney,iit-kanpur__hall-8
imli green chutney,by rule,imli_chutney,a tamarind chutney,iit-kanpur__hall-2
institute holidays,by rule,(not counted),"page furniture: names, notes and signatures, not food",sliet-longowal__hostel-mess
ivy gourd peanut fry,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-tirupati__central-mess-apr2024
jailer curd,by rule,plain_curd,curd,iit-kanpur__hall-8
jalebi,by rule,gulab_jamun,an Indian sweet: gulab jamun stands in,gniot-greater-noida__hostel iit-kanpur__hall-2 tezpur-university__kwh-womens-hostel vnit-nagpur__aaswad-mess
jaljera,by rule,(not counted),"a sweetened water drink: sugar, and no nutrient the study measures in any amount",gniot-greater-noida__hostel
jam 1 slice butter,by hand,jam; amul_butter,,iit-kanpur__hall-11
jam or bread butter,by hand,jam; bread_slice; amul_butter,,iit-kanpur__hall-2
jeeraa aloo green chutney,by hand,aloo_jeera; green_chutney,,iit-kanpur__hall-2
julka green chilli,by hand,roti,,iit-dharwad__central-mess
k adai paneer,by rule,mutter_paneer,a paneer dish: mutter paneer stands in,iit-tirupati__central-mess-apr2024
kachumar salad 1 00 pm to 3 00 pm,by hand,salad,,iiser-bhopal__dining-hall-3
kadai mushroom curry,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-madras__ccw-veg-menu
kadai paneer,by rule,paneer_butter_masala,a rich paneer gravy,iit-kanpur__hall-2
kadhai paneer,by rule,paneer_butter_masala,a rich paneer gravy,iit-delhi__jwalamukhi-hostel iit-dharwad__central-mess
kadhi,by rule,dahi,kadhi is curd thickened with gram flour: stood in for by a small curd,iit-kanpur__hall-11 iit-kanpur__hall-2
kadhi pakode,by rule,dahi,kadhi is curd thickened with gram flour: stood in for by a small curd,iit-bombay__hostel-3
kadhi pakodi dal,by hand,dahi; pakoda; dal_tadka,,iit-kanpur__hall-8
kadi pakode curry,by hand,dahi; pakoda,,iit-tirupati__central-mess-apr2024
kadi pakora,by rule,dahi,kadhi is curd thickened with gram flour: stood in for by a small curd,gniot-greater-noida__hostel
kaju katli,by rule,gulab_jamun,an Indian sweet: gulab jamun stands in,iit-bombay__hostel-3
kal chana masala curd 1 katori or 150gm any fruit seasonal,by hand,black_chana_aloo; plain_curd; fruit_portion,,iiser-bhopal__dining-hall-3
kal masaar daal sweet,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-kanpur__hall-8
kala chana,by rule,black_chana_aloo,black chana,iit-delhi__jwalamukhi-hostel
kala chana masala,by rule,black_chana_aloo,black chana,iit-tirupati__central-mess-apr2024
kalakaand,by hand,gulab_jamun,,iit-bombay__hostel-3
kali masoor,by rule,masoor_dal_dish,masoor dal,iit-delhi__jwalamukhi-hostel
karai paneer,by rule,paneer_butter_masala,a rich paneer gravy,gniot-greater-noida__hostel
karaichutney,by hand,red_chutney,,sns-college-of-engineering__hostel-mess
kashmiri matar pulao methu mali matar,by hand,peas_pulao; pyaj_muter_malai,,iiser-bhopal__dining-hall-3
kashmiri pulao,by rule,peas_pulao,a pulao or fried rice: rice cooked with oil and a vegetable,iit-bombay__hostel-3
kaskol,by hand,mix_veg,,tezpur-university__kwh-womens-hostel
kathal sabji,by rule,mix_veg,a vegetable dish: mix veg stands in,gniot-greater-noida__hostel
kerala paratha,by rule,aloo_paratha,a paratha: the catalog's paratha stands in for all of them,iit-madras__ccw-veg-menu
kesari,by rule,moong_halwa,a halwa,sns-college-of-engineering__hostel-mess
ketchup,by rule,(not counted),a condiment or garnish: served in amounts too small to move a nutrient,iiser-bhopal__dining-hall-3 iit-tirupati__central-mess-apr2024 vnit-nagpur__aaswad-mess
khaman dhokl,by rule,idli,a steamed batter or dough,vnit-nagpur__aaswad-mess
khasta kachori,by rule,poori,a deep-fried bread,iit-kanpur__hall-2
kheera raita,by rule,veg_raita,a raita: curd with a vegetable,iit-kanpur__hall-2
khichadi,by rule,plain_rice; dal_mix,khichdi and pongal are rice cooked with dal,gniot-greater-noida__hostel
khichadi pav,by hand,plain_rice; dal_mix; bread_slice,,gniot-greater-noida__hostel
khichdi,by rule,plain_rice; dal_mix,khichdi and pongal are rice cooked with dal,iit-bombay__hostel-3 iit-kanpur__hall-8
khorisa,by hand,pickle,,tezpur-university__kwh-womens-hostel
kichadi,by rule,plain_rice; dal_mix,khichdi and pongal are rice cooked with dal,sns-college-of-engineering__hostel-mess
koni dom nv,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",tezpur-university__kwh-womens-hostel
kosumbari curd icecream,by rule,plain_curd,curd,iit-dharwad__central-mess
kulcha,by rule,roti,a flatbread,iit-delhi__jwalamukhi-hostel
kulcha garlic naan,by rule,roti,a flatbread,iit-kanpur__hall-8
kundru,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-2
laccha paratha,by rule,aloo_paratha,a paratha: the catalog's paratha stands in for all of them,iit-delhi__jwalamukhi-hostel
ladies finger,by rule,kurmuri_bhindi,a bhindi sabzi,sns-college-of-engineering__hostel-mess
ladoo,by rule,gulab_jamun,an Indian sweet: gulab jamun stands in,iit-kanpur__hall-2
lady s finger poriyal,by rule,mix_veg,a vegetable dish: mix veg stands in,sns-college-of-engineering__hostel-mess
lassi,by rule,dahi,buttermilk and lassi are thinned curd: stood in for by a small curd (80 g),iit-bombay__hostel-3 iit-delhi__jwalamukhi-hostel iit-kanpur__hall-11
lauki chana dal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iiser-bhopal__dining-hall-3
lauki jeera,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-11
lauki sabji,by rule,mix_veg,a vegetable dish: mix veg stands in,gniot-greater-noida__hostel
lehsun chutney,by rule,green_chutney,a chutney,iit-delhi__jwalamukhi-hostel
lemon,by rule,(not counted),a condiment or garnish: served in amounts too small to move a nutrient,iiser-bhopal__dining-hall-3 iit-tirupati__central-mess-apr2024 sns-college-of-engineering__hostel-mess vnit-nagpur__aaswad-mess
lemon chutney,by rule,green_chutney,a chutney,iit-tirupati__central-mess-apr2024
lemon rice,by rule,onion_rice,a flavoured rice: rice tempered in oil,iit-kanpur__hall-2 iit-madras__ccw-veg-menu sns-college-of-engineering__hostel-mess vnit-nagpur__aaswad-mess
lemon slices,by rule,(not counted),a condiment or garnish: served in amounts too small to move a nutrient,iit-dharwad__central-mess
lemon water,by rule,(not counted),"a sweetened water drink: sugar, and no nutrient the study measures in any amount",iit-madras__ccw-veg-menu
lime,by rule,(not counted),a condiment or garnish: served in amounts too small to move a nutrient,iit-madras__ccw-veg-menu
lobia,by hand,rajma_dish,,iit-tirupati__central-mess-apr2024
lobia daal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-kanpur__hall-11
lobiya dal,by rule,rajma_dish,a whole-bean curry: rajma stands in,gniot-greater-noida__hostel
lutputt bhindi,by rule,kurmuri_bhindi,a bhindi sabzi,iit-kanpur__hall-2
maasor daal,by rule,masoor_dal_dish,masoor dal,iiser-bhopal__dining-hall-3
macaroni,by rule,noodles,noodles or pasta,iit-delhi__jwalamukhi-hostel
macrony with ketchup,by hand,noodles,,gniot-greater-noida__hostel
madira,by hand,(not counted),,iit-kanpur__hall-8
maggi,by rule,noodles,noodles or pasta,iit-madras__ccw-veg-menu
malai soya curd non veg,by hand,soya_badi,,iit-kanpur__hall-8
manchurian,by rule,veg_kofta,fried vegetable balls in gravy,gniot-greater-noida__hostel
mango dal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-tirupati__central-mess-apr2024
masala,by rule,(not counted),"a heading, a label or a word left over from a split cell, not a dish",iit-kanpur__hall-11
masala aalu,by rule,mix_veg,a vegetable dish: mix veg stands in,sliet-longowal__hostel-mess
masala cach,by rule,mix_veg,a vegetable dish: mix veg stands in,gniot-greater-noida__hostel
masala corn lemon,by rule,sweetcorn_side,sweetcorn,iit-madras__ccw-veg-menu
masala dosa samber chutney mix sprouts cut fruits,by rule,sambhar,sambar,iit-dharwad__central-mess
masala dosa sambhar,by hand,dosa; sambhar,,iiser-bhopal__dining-hall-3
masala kale chane,by rule,black_chana_aloo,black chana,gniot-greater-noida__hostel
masala kichdi,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-tirupati__central-mess-apr2024
masala mushroom non veg chicken masa,by hand,mix_veg,,iit-kanpur__hall-8
masala oats,by rule,oatmeal,oats,iit-delhi__jwalamukhi-hostel
masala parantha,by rule,aloo_paratha,a paratha: the catalog's paratha stands in for all of them,iiser-bhopal__dining-hall-3
masala rice,by rule,onion_rice,a flavoured rice: rice tempered in oil,vnit-nagpur__aaswad-mess
masaor dal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,vnit-nagpur__aaswad-mess
mashoor daal with tomato,by rule,masoor_dal_dish,masoor dal,iit-kanpur__hall-11
masoor butter masala,by rule,masoor_dal_dish,masoor dal,iit-kanpur__hall-2
masur sabut,by rule,masoor_dal_dish,masoor dal,sliet-longowal__hostel-mess
matar masala,by rule,mix_veg,a vegetable dish: mix veg stands in,gniot-greater-noida__hostel
matar paneer veg,by rule,mutter_paneer,a paneer dish: mutter paneer stands in,tezpur-university__kwh-womens-hostel
matar pulav,by rule,peas_pulao,a pulao or fried rice: rice cooked with oil and a vegetable,iit-kanpur__hall-11
matar rasedaar,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-8
matta,by hand,dahi,,iit-kanpur__hall-2
meal maker curry,by rule,soya_badi,soya chunks,iit-madras__ccw-veg-menu
meal maker peas,by rule,soya_badi,soya chunks,iit-madras__ccw-veg-menu
meal maker thin gravy,by rule,soya_badi,soya chunks,iit-tirupati__central-mess-apr2024
mehti paratha,by rule,aloo_paratha,a paratha: the catalog's paratha stands in for all of them,vnit-nagpur__aaswad-mess
mendu wada,by rule,vada,a vada,vnit-nagpur__aaswad-mess
meth poori chole masala mix sprouts egg bhurji bbj 2 slices banana,by rule,egg_bhurji,an omelette or scrambled egg: egg cooked in oil,iit-dharwad__central-mess
methi chapathi,by rule,roti,a flatbread,iit-madras__ccw-veg-menu
methi dal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-tirupati__central-mess-apr2024
methi dal chapati,by rule,roti,a flatbread,iit-dharwad__central-mess
methi malai chicken,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",iit-kanpur__hall-8
methi malai malar,by rule,mix_veg,a vegetable dish: mix veg stands in,vnit-nagpur__aaswad-mess
methi malai paneer non veg,by hand,mutter_paneer,,iit-kanpur__hall-8
methi mutter malai panner with veg shortba,by hand,pyaj_muter_malai,,iit-tirupati__central-mess-apr2024
methi muuter mala,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-bombay__hostel-3
methi paratha,by rule,aloo_paratha,a paratha: the catalog's paratha stands in for all of them,iit-kanpur__hall-11
milk bournvita,by rule,milk_glass,a milk drink: a glass of milk,iit-dharwad__central-mess
milk cake,by rule,milk_glass,a milk drink: a glass of milk,iit-delhi__jwalamukhi-hostel
milkcurd,by hand,plain_curd,,iit-kanpur__hall-8
millets chiva,by hand,poha,,vnit-nagpur__aaswad-mess
mint chutney,by rule,green_chutney,a chutney,iit-delhi__jwalamukhi-hostel iit-madras__ccw-veg-menu iit-tirupati__central-mess-apr2024
mint raita,by rule,veg_raita,a raita: curd with a vegetable,iit-kanpur__hall-2
mint thoviyal,by rule,green_chutney,a chutney,iit-madras__ccw-veg-menu
mix,by rule,(not counted),"a heading, a label or a word left over from a split cell, not a dish",iit-tirupati__central-mess-apr2024
mix dal tadka,by rule,dal_mix,mixed dal,iiser-bhopal__dining-hall-3
mix fruit,by rule,fruit_portion,a piece of fruit,iit-delhi__jwalamukhi-hostel
mix paratha,by rule,aloo_paratha,a paratha: the catalog's paratha stands in for all of them,gniot-greater-noida__hostel
mix tomato,by rule,salad,raw vegetables,iit-kanpur__hall-8
mix veg curry,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-madras__ccw-veg-menu
mixed parantha with tomato chutney,by hand,aloo_paratha; red_chutney,,iiser-bhopal__dining-hall-3
mixture,by rule,ratlami_sev,a packaged or fried namkeen: sev stands in,sns-college-of-engineering__hostel-mess
mixveg paratha,by rule,aloo_paratha,a paratha: the catalog's paratha stands in for all of them,iit-kanpur__hall-2
mong dal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,gniot-greater-noida__hostel
moong,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-bombay__hostel-3 iit-tirupati__central-mess-apr2024
moong chhilka dal sweet kheer,by hand,dal_tadka; kheer,,iit-kanpur__hall-2
moong chilla,by hand,dosa,,iit-kanpur__hall-11
moong dal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-bombay__hostel-3 vnit-nagpur__aaswad-mess
moong dal chilla,by hand,dosa,,iiser-bhopal__dining-hall-3
moong dal chutney,by hand,green_chutney,,iit-kanpur__hall-8
moong dal paneer chilla,by hand,dosa,,iit-delhi__jwalamukhi-hostel
moong dhuli,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,sliet-longowal__hostel-mess
mor kuzhambu,by rule,dahi,buttermilk and lassi are thinned curd: stood in for by a small curd (80 g),iit-madras__ccw-veg-menu
mudda pappu,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-tirupati__central-mess-apr2024
muesli,by rule,cereal_bowl,breakfast cereal,iit-delhi__jwalamukhi-hostel
muri ghonta nv,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",tezpur-university__kwh-womens-hostel
musli,by hand,cereal_bowl,,iit-bombay__hostel-3
mutter,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-tirupati__central-mess-apr2024
mutter masala,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-tirupati__central-mess-apr2024
mutter mushroom gravy,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-2
mutton masala,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",iit-tirupati__central-mess-apr2024
mysore bhujya narilyaal chutney,by rule,green_chutney,a chutney,iit-dharwad__central-mess
naan,by rule,roti,a flatbread,iit-kanpur__hall-11
namkeen sev,by rule,ratlami_sev,a packaged or fried namkeen: sev stands in,iit-delhi__jwalamukhi-hostel
namkeen sevaiyan,by hand,upma,,iit-delhi__jwalamukhi-hostel
nariyal,by hand,nariyal_chutney,,gniot-greater-noida__hostel
nimbu paani,by hand,(not counted),,iit-bombay__hostel-3
nimbu pani,by rule,(not counted),"a sweetened water drink: sugar, and no nutrient the study measures in any amount",iit-kanpur__hall-2
oats,by rule,oatmeal,oats,iit-madras__ccw-veg-menu
omelete 1,by rule,egg_bhurji,an omelette or scrambled egg: egg cooked in oil,iit-tirupati__central-mess-apr2024
omelette,by rule,egg_bhurji,an omelette or scrambled egg: egg cooked in oil,iit-delhi__jwalamukhi-hostel
omlet,by rule,egg_bhurji,an omelette or scrambled egg: egg cooked in oil,vnit-nagpur__aaswad-mess
omlette,by rule,egg_bhurji,an omelette or scrambled egg: egg cooked in oil,iit-bombay__hostel-3
onion,by rule,salad,raw vegetables,iit-madras__ccw-veg-menu iit-tirupati__central-mess-apr2024 vnit-nagpur__aaswad-mess
onion chutney,by rule,red_chutney,a red chutney,sns-college-of-engineering__hostel-mess
onion lemon cucumber salad,by rule,salad,raw vegetables,iit-madras__ccw-veg-menu
onion masala rice plain rice,by rule,onion_rice,a flavoured rice: rice tempered in oil,iit-dharwad__central-mess
onion tomato raita with quantity of curd 100 gram,by hand,veg_raita,,sliet-longowal__hostel-mess
onion uthappam,by rule,dosa,a pancake of fermented batter or gram flour: dosa stands in,sns-college-of-engineering__hostel-mess
onion uttappam chutney samber mix sprouts boiled egg cut fruits,by rule,boiled_egg,an egg,iit-dharwad__central-mess
ood dates pasta,by rule,noodles,noodles or pasta,iit-dharwad__central-mess
option matar paneer,by rule,mutter_paneer,a paneer dish: mutter paneer stands in,iit-kanpur__hall-11
orange,by rule,fruit_portion,a piece of fruit,iit-tirupati__central-mess-apr2024
other bread slices brown,by rule,bread_slice,"bread, however it is served",iiser-bhopal__dining-hall-3
packet item,by hand,(not counted),,vnit-nagpur__aaswad-mess
pakode,by rule,pakoda,a fritter,iit-kanpur__hall-8
palad dalitur,by hand,dal_tadka,,vnit-nagpur__aaswad-mess
palak corn,by rule,sweetcorn_side,sweetcorn,vnit-nagpur__aaswad-mess
palak dal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-madras__ccw-veg-menu iit-tirupati__central-mess-apr2024
palak paneer,by rule,mutter_paneer,a paneer dish: mutter paneer stands in,iit-bombay__hostel-3 iit-madras__ccw-veg-menu
palak veges,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-8
palar paner chicken 1p,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",iit-kanpur__hall-8
pancer do pyaz,by rule,mutter_paneer,a paneer dish: mutter paneer stands in,iiser-bhopal__dining-hall-3
panchratni dal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-delhi__jwalamukhi-hostel
paneer biryani,by rule,veg_biryani,a vegetable biryani,iit-delhi__jwalamukhi-hostel
paneer dal,by hand,mutter_paneer; dal_tadka,,iit-kanpur__hall-2
paneer do pyaja,by rule,paneer_butter_masala,a rich paneer gravy,iit-kanpur__hall-11
paneer kali mirch or aloo chicken gravy,by hand,mutter_paneer,,iit-kanpur__hall-11
paneer kohlapuri,by rule,mutter_paneer,a paneer dish: mutter paneer stands in,iit-bombay__hostel-3
paneer kulhapuri,by rule,mutter_paneer,a paneer dish: mutter paneer stands in,vnit-nagpur__aaswad-mess
paneer tikka,by rule,mutter_paneer,a paneer dish: mutter paneer stands in,iit-bombay__hostel-3
paner roll non veg chicken biryani,by hand,mutter_paneer,,iit-kanpur__hall-8
paner tika,by rule,mutter_paneer,a paneer dish: mutter paneer stands in,vnit-nagpur__aaswad-mess
paner tikkas peuluv,by rule,mutter_paneer,a paneer dish: mutter paneer stands in,vnit-nagpur__aaswad-mess
pani puri alo bharta,by rule,corn_chat,a chaat,iit-dharwad__central-mess
panipuri,by rule,corn_chat,a chaat,iit-bombay__hostel-3
papaya,by rule,fruit_portion,a piece of fruit,iit-madras__ccw-veg-menu iit-tirupati__central-mess-apr2024
papid chat,by rule,corn_chat,a chaat,vnit-nagpur__aaswad-mess
parathas aloo,by rule,aloo_paratha,a paratha: the catalog's paratha stands in for all of them,iit-kanpur__hall-8
parner bhujiya only once a month month last,by rule,ratlami_sev,a packaged or fried namkeen: sev stands in,iit-kanpur__hall-11
paruppu vadai,by hand,vada,,sns-college-of-engineering__hostel-mess
pattisapta,by hand,gulab_jamun,,iit-kanpur__hall-8
paulda rice,by rule,plain_rice,rice,iit-kanpur__hall-2
peanut butter,by rule,amul_butter,butter or ghee,iit-delhi__jwalamukhi-hostel
peanuts,by hand,boiled_sprouts,,iit-bombay__hostel-3
peas kurume,by rule,mix_veg,a vegetable dish: mix veg stands in,sns-college-of-engineering__hostel-mess
petah sabji,by rule,kadu_masala,a pumpkin sabzi,gniot-greater-noida__hostel
phulca moong masala green chilli,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-dharwad__central-mess
phulka green chilli,by rule,roti,a flatbread,iit-dharwad__central-mess
phulka lemon slices,by rule,roti,a flatbread,iit-dharwad__central-mess
phulka thecha,by rule,roti,a flatbread,iit-dharwad__central-mess
phulka tomato chatni,by rule,roti,a flatbread,iit-dharwad__central-mess
pickle curd butter milk,by rule,dahi,buttermilk and lassi are thinned curd: stood in for by a small curd (80 g),iit-dharwad__central-mess
pickle curd sewai kheer,by rule,plain_curd,curd,iit-dharwad__central-mess
pickle mix fruit juice curd,by rule,plain_curd,curd,iit-dharwad__central-mess
pickle mix sprouts boiled egg bbj 2 slices banana,by rule,boiled_egg,an egg,iit-dharwad__central-mess
pickle raata besan ladot,by rule,pickle,pickle,iit-dharwad__central-mess
pickle raata butter milk,by rule,dahi,buttermilk and lassi are thinned curd: stood in for by a small curd (80 g),iit-dharwad__central-mess
pindi chhole,by rule,chole,a chickpea curry,iit-delhi__jwalamukhi-hostel iit-kanpur__hall-11
pineapple,by rule,fruit_portion,a piece of fruit,iit-madras__ccw-veg-menu
pineapple raita,by rule,veg_raita,a raita: curd with a vegetable,iit-delhi__jwalamukhi-hostel
pineapple rava kesari,by rule,moong_halwa,a halwa,iit-madras__ccw-veg-menu
piyazat egg nv,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",tezpur-university__kwh-womens-hostel
plain,by rule,(not counted),"a heading, a label or a word left over from a split cell, not a dish",iit-delhi__jwalamukhi-hostel iit-kanpur__hall-11
plain holrlcks,by hand,milk_glass,,iit-kanpur__hall-8
plain paratha,by rule,aloo_paratha,a paratha: the catalog's paratha stands in for all of them,iit-kanpur__hall-2 iit-kanpur__hall-8
plain paratha or chicken rogan josh,by hand,aloo_paratha,,iit-kanpur__hall-11
plain parathas with alu sabzi or 04 numbers of bread slices sandwich bread cake size with 17 gram butter or 20 gram jam or boiled egg 01 no 8 5 gram egg,by hand,aloo_paratha; aloo_jeera; bread_slice; amul_butter; jam; boiled_egg,,sliet-longowal__hostel-mess
poha or 04 numbers of bread slices sandwich bread cake size with 17 gram butter or 20 gram jam or boiled egg 01 no or 8 5 gram butter,by hand,poha; bread_slice; amul_butter; jam; boiled_egg,,sliet-longowal__hostel-mess
poha with tomato chutney,by hand,poha; red_chutney,,sliet-longowal__hostel-mess
pongal,by rule,plain_rice; dal_mix,khichdi and pongal are rice cooked with dal,iit-madras__ccw-veg-menu sns-college-of-engineering__hostel-mess
pongal with cocunut chutney,by hand,plain_rice; dal_mix; nariyal_chutney,,sns-college-of-engineering__hostel-mess
poor atta maid ra bathuai,by hand,poori,,iit-kanpur__hall-8
popcorn 50gm,by hand,poha,,vnit-nagpur__aaswad-mess
potato chips,by rule,ratlami_sev,a packaged or fried namkeen: sev stands in,iit-kanpur__hall-11 iit-madras__ccw-veg-menu
potato poriyal,by rule,mix_veg,a vegetable dish: mix veg stands in,sns-college-of-engineering__hostel-mess
pudina chapathi,by rule,roti,a flatbread,iit-madras__ccw-veg-menu
pudna,by hand,(not counted),,iit-kanpur__hall-8
puli kulambu,by rule,rasam,a thin tamarind or pepper gravy,sns-college-of-engineering__hostel-mess
pulses gravy lobi,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-dharwad__central-mess
pumpkin,by rule,kadu_masala,a pumpkin sabzi,tezpur-university__kwh-womens-hostel
pumpkin pakora,by rule,pakoda,a fritter,tezpur-university__kwh-womens-hostel
pumpkin sabzi,by rule,kadu_masala,a pumpkin sabzi,iiser-bhopal__dining-hall-3
punjabi,by rule,(not counted),"a heading, a label or a word left over from a split cell, not a dish",iit-kanpur__hall-8
purees with aalu sabzi,by rule,mix_veg,a vegetable dish: mix veg stands in,sliet-longowal__hostel-mess
pyaaz pakori,by rule,pakoda,a fritter,iit-kanpur__hall-11
raam,by hand,(not counted),,vnit-nagpur__aaswad-mess
radish,by rule,salad,raw vegetables,iiser-bhopal__dining-hall-3
ragda pattice,by hand,corn_chat,,iit-bombay__hostel-3
ragi drink,by hand,milk_glass,,iit-madras__ccw-veg-menu
ragina chapati,by rule,roti,a flatbread,iit-dharwad__central-mess
ragj rott,by rule,roti,a flatbread,vnit-nagpur__aaswad-mess
raima veg green peas kachori,by hand,rajma_dish; poori,,iit-kanpur__hall-8
raita green chutney boondi raita 150 200 ml,by hand,veg_raita; green_chutney; boondi_raita,,iiser-bhopal__dining-hall-3
raita pastry,by rule,veg_raita,a raita: curd with a vegetable,iiser-bhopal__dining-hall-3
rasgulla,by rule,gulab_jamun,an Indian sweet: gulab jamun stands in,iit-bombay__hostel-3
rasmalai,by rule,gulab_jamun,an Indian sweet: gulab jamun stands in,iit-bombay__hostel-3
rasna,by rule,(not counted),"a sweetened water drink: sugar, and no nutrient the study measures in any amount",iit-bombay__hostel-3
rasogulla,by hand,gulab_jamun,,sliet-longowal__hostel-mess
raw banana fry,by hand,mix_veg,,iit-tirupati__central-mess-apr2024
razma,by rule,rajma_dish,rajma,iit-kanpur__hall-2
rcie,by hand,plain_rice,,sns-college-of-engineering__hostel-mess
red,by rule,(not counted),"a heading, a label or a word left over from a split cell, not a dish",gniot-greater-noida__hostel
red bhaji,by rule,mix_veg,a vegetable dish: mix veg stands in,gniot-greater-noida__hostel
red chana,by rule,red_chutney,a red chutney,iit-bombay__hostel-3
red chille,by rule,(not counted),a condiment or garnish: served in amounts too small to move a nutrient,iit-tirupati__central-mess-apr2024
red masar daal sweet,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-kanpur__hall-8
red masoor daal sweet,by rule,masoor_dal_dish,masoor dal,iit-kanpur__hall-8
red masoor dal,by rule,masoor_dal_dish,masoor dal,iit-kanpur__hall-11
rice pulao,by rule,peas_pulao,a pulao or fried rice: rice cooked with oil and a vegetable,sliet-longowal__hostel-mess
ridge gourd thoviyal,by rule,green_chutney,a chutney,iit-madras__ccw-veg-menu
roasted bread,by rule,bread_slice,"bread, however it is served",sns-college-of-engineering__hostel-mess
roasted phool makhana,by hand,ratlami_sev,,iit-madras__ccw-veg-menu
roohafza,by rule,(not counted),"a sweetened water drink: sugar, and no nutrient the study measures in any amount",iit-delhi__jwalamukhi-hostel
rott,by rule,roti,a flatbread,vnit-nagpur__aaswad-mess
rusk,by rule,ratlami_sev,a packaged or fried namkeen: sev stands in,iit-madras__ccw-veg-menu
sabudana khichdi,by rule,plain_rice; dal_mix,khichdi and pongal are rice cooked with dal,iit-delhi__jwalamukhi-hostel
sabut moong 100 gm,by rule,boiled_sprouts,sprouts or boiled pulses,sliet-longowal__hostel-mess
sahi panner,by hand,paneer_butter_masala,,iit-dharwad__central-mess
salad atleast 3 onion,by rule,salad,raw vegetables,iiser-bhopal__dining-hall-3
salan,by hand,mix_veg,,iit-kanpur__hall-8
salt,by rule,(not counted),a condiment or garnish: served in amounts too small to move a nutrient,iit-madras__ccw-veg-menu iit-tirupati__central-mess-apr2024
salt table,by hand,(not counted),,iiser-bhopal__dining-hall-3
sambar chutney for onion dosa,by hand,sambhar; green_chutney,,iit-tirupati__central-mess-apr2024
samber,by rule,sambhar,sambar,iit-dharwad__central-mess
samiya,by rule,kheer,a milk pudding,gniot-greater-noida__hostel
sandwich,by rule,bread_slice,"bread, however it is served",gniot-greater-noida__hostel iit-delhi__jwalamukhi-hostel iit-kanpur__hall-11
sarso ka saag,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-2
